EKF: 
[LASER] Initializing x: 
0.312243
 0.58034
     5.5
     0.5
>> Accuracy | rmse_px -> 0.287757   | rmse_py -> 0.0196602  | rmse_vx -> 0.300063   | rmse_vy -> 0.5       
>> Accuracy | rmse_px -> 0.20374    | rmse_py -> 0.0235394  | rmse_vx -> 1.64225    | rmse_vy -> 1.2509    
>> Accuracy | rmse_px -> 0.169933   | rmse_py -> 0.0685515  | rmse_vx -> 1.73523    | rmse_vy -> 1.27415   
>> Accuracy | rmse_px -> 0.155427   | rmse_py -> 0.0630011  | rmse_vx -> 1.50684    | rmse_vy -> 1.14083   
>> Accuracy | rmse_px -> 0.142076   | rmse_py -> 0.0563814  | rmse_vx -> 1.34888    | rmse_vy -> 1.03901   
>> Accuracy | rmse_px -> 0.131375   | rmse_py -> 0.0517478  | rmse_vx -> 1.2315     | rmse_vy -> 0.955475  
>> Accuracy | rmse_px -> 0.12209    | rmse_py -> 0.0479727  | rmse_vx -> 1.14056    | rmse_vy -> 0.889672  
>> Accuracy | rmse_px -> 0.116818   | rmse_py -> 0.0466427  | rmse_vx -> 1.06699    | rmse_vy -> 0.842436  
>> Accuracy | rmse_px -> 0.111997   | rmse_py -> 0.0475225  | rmse_vx -> 1.006      | rmse_vy -> 0.80237   
>> Accuracy | rmse_px -> 0.107414   | rmse_py -> 0.0482331  | rmse_vx -> 0.954409   | rmse_vy -> 0.765493  
>> Accuracy | rmse_px -> 0.104903   | rmse_py -> 0.0494699  | rmse_vx -> 0.910002   | rmse_vy -> 0.733358  
>> Accuracy | rmse_px -> 0.101295   | rmse_py -> 0.0473835  | rmse_vx -> 0.871408   | rmse_vy -> 0.70255   
>> Accuracy | rmse_px -> 0.0973219  | rmse_py -> 0.0495538  | rmse_vx -> 0.838136   | rmse_vy -> 0.681954  
>> Accuracy | rmse_px -> 0.0939839  | rmse_py -> 0.0498797  | rmse_vx -> 0.810038   | rmse_vy -> 0.660453  
>> Accuracy | rmse_px -> 0.0914249  | rmse_py -> 0.051232   | rmse_vx -> 0.785155   | rmse_vy -> 0.642023  
>> Accuracy | rmse_px -> 0.0890702  | rmse_py -> 0.0514647  | rmse_vx -> 0.760832   | rmse_vy -> 0.624039  
>> Accuracy | rmse_px -> 0.0868086  | rmse_py -> 0.0499863  | rmse_vx -> 0.738129   | rmse_vy -> 0.605449  
>> Accuracy | rmse_px -> 0.0849186  | rmse_py -> 0.0485863  | rmse_vx -> 0.718234   | rmse_vy -> 0.588582  
>> Accuracy | rmse_px -> 0.0826541  | rmse_py -> 0.0475437  | rmse_vx -> 0.69921    | rmse_vy -> 0.573923  
>> Accuracy | rmse_px -> 0.0805668  | rmse_py -> 0.0468434  | rmse_vx -> 0.681806   | rmse_vy -> 0.560718  
>> Accuracy | rmse_px -> 0.0792554  | rmse_py -> 0.0464395  | rmse_vx -> 0.666298   | rmse_vy -> 0.549054  
>> Accuracy | rmse_px -> 0.0776571  | rmse_py -> 0.0514564  | rmse_vx -> 0.651018   | rmse_vy -> 0.545271  
>> Accuracy | rmse_px -> 0.0761101  | rmse_py -> 0.051217   | rmse_vx -> 0.636769   | rmse_vy -> 0.535156  
>> Accuracy | rmse_px -> 0.0745847  | rmse_py -> 0.0508017  | rmse_vx -> 0.623597   | rmse_vy -> 0.525556  
>> Accuracy | rmse_px -> 0.0730857  | rmse_py -> 0.0515278  | rmse_vx -> 0.61125    | rmse_vy -> 0.518223  
>> Accuracy | rmse_px -> 0.0716925  | rmse_py -> 0.0548321  | rmse_vx -> 0.601423   | rmse_vy -> 0.515051  
>> Accuracy | rmse_px -> 0.0711064  | rmse_py -> 0.0550899  | rmse_vx -> 0.593153   | rmse_vy -> 0.507941  
>> Accuracy | rmse_px -> 0.0698461  | rmse_py -> 0.0561605  | rmse_vx -> 0.582533   | rmse_vy -> 0.502076  
>> Accuracy | rmse_px -> 0.0686533  | rmse_py -> 0.060739   | rmse_vx -> 0.572497   | rmse_vy -> 0.500974  
>> Accuracy | rmse_px -> 0.0675648  | rmse_py -> 0.0662257  | rmse_vx -> 0.56325    | rmse_vy -> 0.501612  
>> Accuracy | rmse_px -> 0.0667643  | rmse_py -> 0.0727775  | rmse_vx -> 0.55455    | rmse_vy -> 0.503565  
>> Accuracy | rmse_px -> 0.0657645  | rmse_py -> 0.0753759  | rmse_vx -> 0.546635   | rmse_vy -> 0.499869  
>> Accuracy | rmse_px -> 0.0649055  | rmse_py -> 0.0770102  | rmse_vx -> 0.53888    | rmse_vy -> 0.495382  
>> Accuracy | rmse_px -> 0.0639968  | rmse_py -> 0.0789387  | rmse_vx -> 0.532078   | rmse_vy -> 0.491871  
>> Accuracy | rmse_px -> 0.0630804  | rmse_py -> 0.0816336  | rmse_vx -> 0.525333   | rmse_vy -> 0.489734  
>> Accuracy | rmse_px -> 0.0624703  | rmse_py -> 0.0831668  | rmse_vx -> 0.519651   | rmse_vy -> 0.486348  
